GEO_ID,NAME,S1501_C01_001E,S1501_C01_002E
Geography,Geographic Area Name,Total estimates for age by educational attainment Population 18 to 24 years,Population 18 to 24 years Less than high school graduate
1400000US06001409500,Census Tract 4095; Alameda County; California,427,104
1400000US06001409600,Census Tract 4096; Alameda County; California,527,234
1400000US06001409700,Census Tract 4097; Alameda County; California,515,68
1400000US06001409800,Census Tract 4098; Alameda County; California,298,31
1400000US06001409900,Census Tract 4099; Alameda County; California,307,31
1400000US06001410000,Census Tract 4100; Alameda County; California,149,0
1400000US06001410100,Census Tract 4101; Alameda County; California,230,38
1400000US06001410200,Census Tract 4102; Alameda County; California,176,59
1400000US06001410300,Census Tract 4103; Alameda County; California,485,94
1400000US06001410400,Census Tract 4104; Alameda County; California,581,141
1400000US06001410500,Census Tract 4105; Alameda County; California,308,13
1400000US06001420100,Census Tract 4201; Alameda County; California,90,0
1400000US06001420200,Census Tract 4202; Alameda County; California,132,0
1400000US06001420301,Census Tract 4203.01; Alameda County; California,236,88
1400000US06001420302,Census Tract 4203.02; Alameda County; California,46,0
1400000US06001420401,Census Tract 4204.01; Alameda County; California,174,0
1400000US06001420402,Census Tract 4204.02; Alameda County; California,256,0
1400000US06001420500,Census Tract 4205; Alameda County; California,195,9
1400000US06001420600,Census Tract 4206; Alameda County; California,172,10
1400000US06001421100,Census Tract 4211; Alameda County; California,73,9
1400000US06001421200,Census Tract 4212; Alameda County; California,94,10
1400000US06001421300,Census Tract 4213; Alameda County; California,242,19
1400000US06001421400,Census Tract 4214; Alameda County; California,91,6
1400000US06001421500,Census Tract 4215; Alameda County; California,303,63
1400000US06001421600,Census Tract 4216; Alameda County; California,299,0
1400000US06001421700,Census Tract 4217; Alameda County; California,375,0
1400000US06001421800,Census Tract 4218; Alameda County; California,102,0
1400000US06001421900,Census Tract 4219; Alameda County; California,146,23
1400000US06001422000,Census Tract 4220; Alameda County; California,140,0
1400000US06001422100,Census Tract 4221; Alameda County; California,190,8
1400000US06001422200,Census Tract 4222; Alameda County; California,195,24
1400000US06001422300,Census Tract 4223; Alameda County; California,430,0
1400000US06001422400,Census Tract 4224; Alameda County; California,948,0
1400000US06001422500,Census Tract 4225; Alameda County; California,1893,0
1400000US06001422700,Census Tract 4227; Alameda County; California,3394,61
1400000US06001422800,Census Tract 4228; Alameda County; California,7715,47
1400000US06001422901,Census Tract 4229.01; Alameda County; California,1042,0
1400000US06001422902,Census Tract 4229.02; Alameda County; California,1511,0
1400000US06001423000,Census Tract 4230; Alameda County; California,591,26
1400000US06001423100,Census Tract 4231; Alameda County; California,427,46
1400000US06001423200,Census Tract 4232; Alameda County; California,480,59
1400000US06001423300,Census Tract 4233; Alameda County; California,184,4
1400000US06001423400,Census Tract 4234; Alameda County; California,616,23
1400000US06001423500,Census Tract 4235; Alameda County; California,427,0
1400000US06001423601,Census Tract 4236.01; Alameda County; California,275,0
1400000US06001423602,Census Tract 4236.02; Alameda County; California,4033,0
1400000US06001423700,Census Tract 4237; Alameda County; California,1105,0
1400000US06001423800,Census Tract 4238; Alameda County; California,110,11
1400000US06001423901,Census Tract 4239.01; Alameda County; California,289,0
1400000US06001423902,Census Tract 4239.02; Alameda County; California,238,2
1400000US06001424001,Census Tract 4240.01; Alameda County; California,485,0
1400000US06001424002,Census Tract 4240.02; Alameda County; California,250,61
1400000US06001425101,Census Tract 4251.01; Alameda County; California,29,0
1400000US06001425102,Census Tract 4251.02; Alameda County; California,476,5
1400000US06001425103,Census Tract 4251.03; Alameda County; California,163,0
1400000US06001425104,Census Tract 4251.04; Alameda County; California,394,0
1400000US06001426100,Census Tract 4261; Alameda County; California,154,51
1400000US06001426200,Census Tract 4262; Alameda County; California,305,14
1400000US06001427100,Census Tract 4271; Alameda County; California,198,0
1400000US06001427200,Census Tract 4272; Alameda County; California,237,27
1400000US06001427300,Census Tract 4273; Alameda County; California,319,51
1400000US06001427600,Census Tract 4276; Alameda County; California,347,44
1400000US06001427700,Census Tract 4277; Alameda County; California,283,2
1400000US06001427800,Census Tract 4278; Alameda County; California,295,57
1400000US06001427900,Census Tract 4279; Alameda County; California,92,0
1400000US06001428000,Census Tract 4280; Alameda County; California,191,0
1400000US06001428100,Census Tract 4281; Alameda County; California,223,15
1400000US06001428200,Census Tract 4282; Alameda County; California,440,0
1400000US06001428301,Census Tract 4283.01; Alameda County; California,490,0
1400000US06001428302,Census Tract 4283.02; Alameda County; California,256,0
1400000US06001428400,Census Tract 4284; Alameda County; California,248,68
1400000US06001428500,Census Tract 4285; Alameda County; California,199,31
1400000US06001428600,Census Tract 4286; Alameda County; California,125,27
1400000US06001428700,Census Tract 4287; Alameda County; California,471,52
1400000US06001430101,Census Tract 4301.01; Alameda County; California,372,17
1400000US06001430102,Census Tract 4301.02; Alameda County; California,118,0
1400000US06001430200,Census Tract 4302; Alameda County; California,250,34
1400000US06001430300,Census Tract 4303; Alameda County; California,281,0
1400000US06001430400,Census Tract 4304; Alameda County; California,90,0
1400000US06001430500,Census Tract 4305; Alameda County; California,404,24
1400000US06001430600,Census Tract 4306; Alameda County; California,181,0
1400000US06001430700,Census Tract 4307; Alameda County; California,175,20
1400000US06001430800,Census Tract 4308; Alameda County; California,600,0
1400000US06001430900,Census Tract 4309; Alameda County; California,287,0
1400000US06001431000,Census Tract 4310; Alameda County; California,161,12
1400000US06001431100,Census Tract 4311; Alameda County; California,184,0
1400000US06001431200,Census Tract 4312; Alameda County; California,385,6
1400000US06001432100,Census Tract 4321; Alameda County; California,368,0
1400000US06001432200,Census Tract 4322; Alameda County; California,265,0
1400000US06001432300,Census Tract 4323; Alameda County; California,534,41
1400000US06001432400,Census Tract 4324; Alameda County; California,619,88
1400000US06001432501,Census Tract 4325.01; Alameda County; California,492,63
1400000US06001432502,Census Tract 4325.02; Alameda County; California,540,30
1400000US06001432601,Census Tract 4326.01; Alameda County; California,368,0
1400000US06001432602,Census Tract 4326.02; Alameda County; California,207,0
1400000US06001432700,Census Tract 4327; Alameda County; California,129,30
1400000US06001432800,Census Tract 4328; Alameda County; California,253,67
1400000US06001433000,Census Tract 4330; Alameda County; California,199,28
1400000US06001433102,Census Tract 4331.02; Alameda County; California,212,0
1400000US06001433103,Census Tract 4331.03; Alameda County; California,291,41
1400000US06001433104,Census Tract 4331.04; Alameda County; California,436,56
1400000US06001433200,Census Tract 4332; Alameda County; California,1173,102
1400000US06001433300,Census Tract 4333; Alameda County; California,695,54
1400000US06001433400,Census Tract 4334; Alameda County; California,407,0
1400000US06001433500,Census Tract 4335; Alameda County; California,359,0
1400000US06001433600,Census Tract 4336; Alameda County; California,389,37
1400000US06001433700,Census Tract 4337; Alameda County; California,247,0
1400000US06001433801,Census Tract 4338.01; Alameda County; California,320,33
1400000US06001433802,Census Tract 4338.02; Alameda County; California,325,53
1400000US06001433900,Census Tract 4339; Alameda County; California,687,57
1400000US06001434000,Census Tract 4340; Alameda County; California,396,96
1400000US06001435102,Census Tract 4351.02; Alameda County; California,1754,0
1400000US06001435103,Census Tract 4351.03; Alameda County; California,728,25
1400000US06001435104,Census Tract 4351.04; Alameda County; California,478,102
1400000US06001435200,Census Tract 4352; Alameda County; California,330,0
1400000US06001435300,Census Tract 4353; Alameda County; California,255,38
1400000US06001435400,Census Tract 4354; Alameda County; California,428,17
1400000US06001435500,Census Tract 4355; Alameda County; California,214,0
1400000US06001435601,Census Tract 4356.01; Alameda County; California,643,129
1400000US06001435602,Census Tract 4356.02; Alameda County; California,599,177
1400000US06001435700,Census Tract 4357; Alameda County; California,426,9
1400000US06001435800,Census Tract 4358; Alameda County; California,507,33
1400000US06001435900,Census Tract 4359; Alameda County; California,273,43
1400000US06001436000,Census Tract 4360; Alameda County; California,410,38
1400000US06001436100,Census Tract 4361; Alameda County; California,398,77
1400000US06001436200,Census Tract 4362; Alameda County; California,196,0
1400000US06001436301,Census Tract 4363.01; Alameda County; California,269,10
1400000US06001436302,Census Tract 4363.02; Alameda County; California,275,72
1400000US06001436402,Census Tract 4364.02; Alameda County; California,137,0
1400000US06001436403,Census Tract 4364.03; Alameda County; California,540,0
1400000US06001436404,Census Tract 4364.04; Alameda County; California,166,21
1400000US06001436500,Census Tract 4365; Alameda County; California,619,11
1400000US06001436601,Census Tract 4366.01; Alameda County; California,362,49
1400000US06001436602,Census Tract 4366.02; Alameda County; California,378,80
1400000US06001436700,Census Tract 4367; Alameda County; California,221,53
1400000US06001436800,Census Tract 4368; Alameda County; California,574,0
1400000US06001436900,Census Tract 4369; Alameda County; California,356,24
1400000US06001437000,Census Tract 4370; Alameda County; California,314,33
1400000US06001437101,Census Tract 4371.01; Alameda County; California,462,15
1400000US06001437102,Census Tract 4371.02; Alameda County; California,421,38
1400000US06001437200,Census Tract 4372; Alameda County; California,490,11
1400000US06001437300,Census Tract 4373; Alameda County; California,211,32
1400000US06001437400,Census Tract 4374; Alameda County; California,305,23
1400000US06001437500,Census Tract 4375; Alameda County; California,276,43
1400000US06001437600,Census Tract 4376; Alameda County; California,266,5
1400000US06001437701,Census Tract 4377.01; Alameda County; California,323,70
1400000US06001437702,Census Tract 4377.02; Alameda County; California,701,145
1400000US06001437800,Census Tract 4378; Alameda County; California,526,8
1400000US06001437900,Census Tract 4379; Alameda County; California,252,26
1400000US06001438000,Census Tract 4380; Alameda County; California,276,2
1400000US06001438100,Census Tract 4381; Alameda County; California,510,0
1400000US06001438201,Census Tract 4382.01; Alameda County; California,414,46
1400000US06001438203,Census Tract 4382.03; Alameda County; California,221,0
1400000US06001438204,Census Tract 4382.04; Alameda County; California,546,29
1400000US06001438300,Census Tract 4383; Alameda County; California,377,23
1400000US06001438400,Census Tract 4384; Alameda County; California,208,42
1400000US06001440100,Census Tract 4401; Alameda County; California,177,0
1400000US06001440200,Census Tract 4402; Alameda County; California,629,81
1400000US06001440301,Census Tract 4403.01; Alameda County; California,700,40
1400000US06001440304,Census Tract 4403.04; Alameda County; California,255,16
1400000US06001440305,Census Tract 4403.05; Alameda County; California,276,21
1400000US06001440306,Census Tract 4403.06; Alameda County; California,445,78
1400000US06001440307,Census Tract 4403.07; Alameda County; California,208,0
1400000US06001440308,Census Tract 4403.08; Alameda County; California,560,99
1400000US06001440331,Census Tract 4403.31; Alameda County; California,251,0
1400000US06001440332,Census Tract 4403.32; Alameda County; California,285,54
1400000US06001440333,Census Tract 4403.33; Alameda County; California,218,2
1400000US06001440334,Census Tract 4403.34; Alameda County; California,194,0
1400000US06001440336,Census Tract 4403.36; Alameda County; California,242,0
1400000US06001440337,Census Tract 4403.37; Alameda County; California,200,0
1400000US06001440338,Census Tract 4403.38; Alameda County; California,411,0
1400000US06001441100,Census Tract 4411; Alameda County; California,222,29
1400000US06001441200,Census Tract 4412; Alameda County; California,277,0
1400000US06001441301,Census Tract 4413.01; Alameda County; California,238,0
1400000US06001441302,Census Tract 4413.02; Alameda County; California,412,49
1400000US06001441401,Census Tract 4414.01; Alameda County; California,475,28
1400000US06001441402,Census Tract 4414.02; Alameda County; California,233,17
1400000US06001441501,Census Tract 4415.01; Alameda County; California,355,7
1400000US06001441503,Census Tract 4415.03; Alameda County; California,175,23
1400000US06001441521,Census Tract 4415.21; Alameda County; California,256,21
1400000US06001441522,Census Tract 4415.22; Alameda County; California,459,0
1400000US06001441523,Census Tract 4415.23; Alameda County; California,79,0
1400000US06001441524,Census Tract 4415.24; Alameda County; California,186,9
1400000US06001441525,Census Tract 4415.25; Alameda County; California,52,0
1400000US06001441601,Census Tract 4416.01; Alameda County; California,385,0
1400000US06001441602,Census Tract 4416.02; Alameda County; California,441,91
1400000US06001441701,Census Tract 4417.01; Alameda County; California,114,0
1400000US06001441702,Census Tract 4417.02; Alameda County; California,187,0
1400000US06001441800,Census Tract 4418; Alameda County; California,377,12
1400000US06001441921,Census Tract 4419.21; Alameda County; California,363,29
1400000US06001441923,Census Tract 4419.23; Alameda County; California,240,0
1400000US06001441924,Census Tract 4419.24; Alameda County; California,431,30
1400000US06001441926,Census Tract 4419.26; Alameda County; California,231,67
1400000US06001441927,Census Tract 4419.27; Alameda County; California,456,82
1400000US06001441928,Census Tract 4419.28; Alameda County; California,215,0
1400000US06001441929,Census Tract 4419.29; Alameda County; California,118,0
1400000US06001442000,Census Tract 4420; Alameda County; California,152,9
1400000US06001442100,Census Tract 4421; Alameda County; California,453,8
1400000US06001442200,Census Tract 4422; Alameda County; California,425,14
1400000US06001442301,Census Tract 4423.01; Alameda County; California,490,21
1400000US06001442302,Census Tract 4423.02; Alameda County; California,257,0
1400000US06001442400,Census Tract 4424; Alameda County; California,658,33
1400000US06001442501,Census Tract 4425.01; Alameda County; California,160,10
1400000US06001442502,Census Tract 4425.02; Alameda County; California,344,99
1400000US06001442601,Census Tract 4426.01; Alameda County; California,395,71
