GEO_ID,NAME,S1701_C01_001E
Geography,Geographic Area Name,Population for whom poverty status is determined
1400000US06001409900,Census Tract 4099; Alameda County; California,3978
1400000US06001410000,Census Tract 4100; Alameda County; California,3177
1400000US06001410100,Census Tract 4101; Alameda County; California,3163
1400000US06001410200,Census Tract 4102; Alameda County; California,3238
1400000US06001410300,Census Tract 4103; Alameda County; California,3893
1400000US06001410400,Census Tract 4104; Alameda County; California,4687
1400000US06001410500,Census Tract 4105; Alameda County; California,3081
1400000US06001420100,Census Tract 4201; Alameda County; California,2631
1400000US06001420200,Census Tract 4202; Alameda County; California,3257
1400000US06001420301,Census Tract 4203.01; Alameda County; California,2637
1400000US06001420302,Census Tract 4203.02; Alameda County; California,2446
1400000US06001420401,Census Tract 4204.01; Alameda County; California,1207
1400000US06001420402,Census Tract 4204.02; Alameda County; California,1522
1400000US06001420500,Census Tract 4205; Alameda County; California,2522
1400000US06001420600,Census Tract 4206; Alameda County; California,3480
1400000US06001421100,Census Tract 4211; Alameda County; California,2108
1400000US06001421200,Census Tract 4212; Alameda County; California,3547
1400000US06001421300,Census Tract 4213; Alameda County; California,3999
1400000US06001421400,Census Tract 4214; Alameda County; California,1631
1400000US06001421500,Census Tract 4215; Alameda County; California,4000
1400000US06001421600,Census Tract 4216; Alameda County; California,3817
1400000US06001421700,Census Tract 4217; Alameda County; California,3421
1400000US06001421800,Census Tract 4218; Alameda County; California,2239
1400000US06001421900,Census Tract 4219; Alameda County; California,4136
1400000US06001422000,Census Tract 4220; Alameda County; California,2429
1400000US06001422100,Census Tract 4221; Alameda County; California,3191
1400000US06001422200,Census Tract 4222; Alameda County; California,3275
1400000US06001422300,Census Tract 4223; Alameda County; California,3560
1400000US06001422400,Census Tract 4224; Alameda County; California,4187
1400000US06001422500,Census Tract 4225; Alameda County; California,3290
1400000US06001422700,Census Tract 4227; Alameda County; California,2552
1400000US06001422800,Census Tract 4228; Alameda County; California,2939
1400000US06001422901,Census Tract 4229.01; Alameda County; California,2009
1400000US06001422902,Census Tract 4229.02; Alameda County; California,3022
1400000US06001423000,Census Tract 4230; Alameda County; California,4539
1400000US06001423100,Census Tract 4231; Alameda County; California,4224
1400000US06001423200,Census Tract 4232; Alameda County; California,2997
1400000US06001423300,Census Tract 4233; Alameda County; California,3476
1400000US06001423400,Census Tract 4234; Alameda County; California,5551
1400000US06001423500,Census Tract 4235; Alameda County; California,3407
1400000US06001423601,Census Tract 4236.01; Alameda County; California,2700
1400000US06001423602,Census Tract 4236.02; Alameda County; California,7083
1400000US06001423700,Census Tract 4237; Alameda County; California,2859
1400000US06001423800,Census Tract 4238; Alameda County; California,3425
1400000US06001423901,Census Tract 4239.01; Alameda County; California,2250
1400000US06001423902,Census Tract 4239.02; Alameda County; California,1483
1400000US06001424001,Census Tract 4240.01; Alameda County; California,3620
1400000US06001424002,Census Tract 4240.02; Alameda County; California,2628
1400000US06001425101,Census Tract 4251.01; Alameda County; California,1754
1400000US06001425102,Census Tract 4251.02; Alameda County; California,3969
1400000US06001425103,Census Tract 4251.03; Alameda County; California,3103
1400000US06001425104,Census Tract 4251.04; Alameda County; California,4003
1400000US06001426100,Census Tract 4261; Alameda County; California,6300
1400000US06001426200,Census Tract 4262; Alameda County; California,4861
1400000US06001427100,Census Tract 4271; Alameda County; California,4058
1400000US06001427200,Census Tract 4272; Alameda County; California,4399
1400000US06001427300,Census Tract 4273; Alameda County; California,5283
1400000US06001427600,Census Tract 4276; Alameda County; California,4709
1400000US06001427700,Census Tract 4277; Alameda County; California,4988
1400000US06001427800,Census Tract 4278; Alameda County; California,4274
1400000US06001427900,Census Tract 4279; Alameda County; California,4686
1400000US06001428000,Census Tract 4280; Alameda County; California,2906
1400000US06001428100,Census Tract 4281; Alameda County; California,4866
1400000US06001428200,Census Tract 4282; Alameda County; California,6425
1400000US06001428301,Census Tract 4283.01; Alameda County; California,7195
1400000US06001428302,Census Tract 4283.02; Alameda County; California,6991
1400000US06001428400,Census Tract 4284; Alameda County; California,4349
1400000US06001428500,Census Tract 4285; Alameda County; California,3156
1400000US06001428600,Census Tract 4286; Alameda County; California,3089
1400000US06001428700,Census Tract 4287; Alameda County; California,5009
1400000US06001430101,Census Tract 4301.01; Alameda County; California,7000
1400000US06001430102,Census Tract 4301.02; Alameda County; California,2457
1400000US06001430200,Census Tract 4302; Alameda County; California,7629
1400000US06001430300,Census Tract 4303; Alameda County; California,4290
1400000US06001430400,Census Tract 4304; Alameda County; California,2155
1400000US06001430500,Census Tract 4305; Alameda County; California,5973
1400000US06001430600,Census Tract 4306; Alameda County; California,6234
1400000US06001430700,Census Tract 4307; Alameda County; California,4071
1400000US06001430800,Census Tract 4308; Alameda County; California,5806
1400000US06001430900,Census Tract 4309; Alameda County; California,5060
1400000US06001431000,Census Tract 4310; Alameda County; California,3091
1400000US06001431100,Census Tract 4311; Alameda County; California,3252
1400000US06001431200,Census Tract 4312; Alameda County; California,5712
1400000US06001432100,Census Tract 4321; Alameda County; California,3812
1400000US06001432200,Census Tract 4322; Alameda County; California,3962
1400000US06001432300,Census Tract 4323; Alameda County; California,4874
1400000US06001432400,Census Tract 4324; Alameda County; California,6329
1400000US06001432501,Census Tract 4325.01; Alameda County; California,4878
1400000US06001432502,Census Tract 4325.02; Alameda County; California,5076
1400000US06001432601,Census Tract 4326.01; Alameda County; California,4070
1400000US06001432602,Census Tract 4326.02; Alameda County; California,2985
1400000US06001432700,Census Tract 4327; Alameda County; California,2755
1400000US06001432800,Census Tract 4328; Alameda County; California,3847
1400000US06001433000,Census Tract 4330; Alameda County; California,3788
1400000US06001433102,Census Tract 4331.02; Alameda County; California,4429
1400000US06001433103,Census Tract 4331.03; Alameda County; California,3552
1400000US06001433104,Census Tract 4331.04; Alameda County; California,4397
1400000US06001433200,Census Tract 4332; Alameda County; California,8040
1400000US06001433300,Census Tract 4333; Alameda County; California,7367
1400000US06001433400,Census Tract 4334; Alameda County; California,5945
1400000US06001433500,Census Tract 4335; Alameda County; California,4303
1400000US06001433600,Census Tract 4336; Alameda County; California,5844
1400000US06001433700,Census Tract 4337; Alameda County; California,3119
1400000US06001433801,Census Tract 4338.01; Alameda County; California,3423
1400000US06001433802,Census Tract 4338.02; Alameda County; California,4301
1400000US06001433900,Census Tract 4339; Alameda County; California,7163
1400000US06001434000,Census Tract 4340; Alameda County; California,5132
1400000US06001435102,Census Tract 4351.02; Alameda County; California,4771
1400000US06001435103,Census Tract 4351.03; Alameda County; California,7747
1400000US06001435104,Census Tract 4351.04; Alameda County; California,6839
1400000US06001435200,Census Tract 4352; Alameda County; California,4585
1400000US06001435300,Census Tract 4353; Alameda County; California,4438
1400000US06001435400,Census Tract 4354; Alameda County; California,4969
1400000US06001435500,Census Tract 4355; Alameda County; California,4117
1400000US06001435601,Census Tract 4356.01; Alameda County; California,5348
1400000US06001435602,Census Tract 4356.02; Alameda County; California,5542
1400000US06001435700,Census Tract 4357; Alameda County; California,4819
1400000US06001435800,Census Tract 4358; Alameda County; California,5653
1400000US06001435900,Census Tract 4359; Alameda County; California,5290
1400000US06001436000,Census Tract 4360; Alameda County; California,5114
1400000US06001436100,Census Tract 4361; Alameda County; California,5718
1400000US06001436200,Census Tract 4362; Alameda County; California,3983
1400000US06001436301,Census Tract 4363.01; Alameda County; California,5173
1400000US06001436302,Census Tract 4363.02; Alameda County; California,3864
1400000US06001436402,Census Tract 4364.02; Alameda County; California,2672
1400000US06001436403,Census Tract 4364.03; Alameda County; California,4516
1400000US06001436404,Census Tract 4364.04; Alameda County; California,3229
1400000US06001436500,Census Tract 4365; Alameda County; California,5255
1400000US06001436601,Census Tract 4366.01; Alameda County; California,6605
1400000US06001436602,Census Tract 4366.02; Alameda County; California,5195
1400000US06001436700,Census Tract 4367; Alameda County; California,3367
1400000US06001436800,Census Tract 4368; Alameda County; California,4196
1400000US06001436900,Census Tract 4369; Alameda County; California,6377
1400000US06001437000,Census Tract 4370; Alameda County; California,3455
1400000US06001437101,Census Tract 4371.01; Alameda County; California,7960
1400000US06001437102,Census Tract 4371.02; Alameda County; California,4457
1400000US06001437200,Census Tract 4372; Alameda County; California,8337
1400000US06001437300,Census Tract 4373; Alameda County; California,3119
1400000US06001437400,Census Tract 4374; Alameda County; California,3717
1400000US06001437500,Census Tract 4375; Alameda County; California,4018
1400000US06001437600,Census Tract 4376; Alameda County; California,3261
1400000US06001437701,Census Tract 4377.01; Alameda County; California,3597
1400000US06001437702,Census Tract 4377.02; Alameda County; California,3880
1400000US06001437800,Census Tract 4378; Alameda County; California,4872
1400000US06001437900,Census Tract 4379; Alameda County; California,2032
1400000US06001438000,Census Tract 4380; Alameda County; California,3643
1400000US06001438100,Census Tract 4381; Alameda County; California,7953
