Geographic Area Name (NAME),"Area (Land, in square meters) (AREALAND)","Area (Water, in square meters) (AREAWATR)","Area (Land, in square miles) (AREALAND_SQMI)","Area (Water, in square miles) (AREAWATR_SQMI)",Latitude,Longitude
Census Tract 5126.04; Santa Clara County; California,"2,218,652",0,0.857,0,37.0198203,−121.5705811
Census Tract 5130; Santa Clara County; California,"2,759,138",0,1.065,0,37.4288643,−122.1617975
Census Tract 5135; Santa Clara County; California,"1,528,907,498","9,778,597",590.315,3.776,37.248099,−121.5279664
Census Tract 1001; Santa Cruz County; California,"3,278,795",0,1.266,0,36.9957856,−121.9990708
Census Tract 1002; Santa Cruz County; California,"2,401,874",0,0.927,0,36.9847144,−122.0104284
Census Tract 1003; Santa Cruz County; California,"5,805,390","45,778",2.241,0.018,36.9944,−122.0430824
Census Tract 1004; Santa Cruz County; California,"4,206,694",0,1.624,0,36.9921666,−122.0592266
Census Tract 1005; Santa Cruz County; California,"5,721,195",0,2.209,0,36.9708557,−122.0641090
Census Tract 1006; Santa Cruz County; California,"1,049,882",0,0.405,0,36.9697023,−122.0412809
Census Tract 1007; Santa Cruz County; California,"881,773",0,0.34,0,36.9775627,−122.0288432
Census Tract 1008.01; Santa Cruz County; California,"1,132,453",0,0.437,0,36.9745867,−122.0182622
Census Tract 1008.02; Santa Cruz County; California,"755,009",0,0.292,0,36.9730255,−122.0116234
Census Tract 1009; Santa Cruz County; California,"1,973,830","736,229",0.762,0.284,36.9693894,−122.0047204
Census Tract 1010.01; Santa Cruz County; California,"969,818","23,920",0.374,0.009,36.9663523,−122.0327054
Census Tract 1010.02; Santa Cruz County; California,"1,215,116","834,526",0.469,0.322,36.9627695,−122.0189009
Census Tract 1011; Santa Cruz County; California,"1,915,936","1,155,268",0.74,0.446,36.9550263,−122.0333899
Census Tract 1012; Santa Cruz County; California,"4,309,483","1,775,974",1.664,0.686,36.9536393,−122.0613064
Census Tract 1101.01; Santa Cruz County; California,"1,357,751",0,0.524,0,36.9266641,−121.7394890
Census Tract 1101.02; Santa Cruz County; California,"1,090,835",0,0.421,0,36.9173419,−121.7441342
Census Tract 1102.01; Santa Cruz County; California,"609,672",0,0.235,0,36.9201064,−121.7528993
Census Tract 1102.02; Santa Cruz County; California,"2,351,625",0,0.908,0,36.9290901,−121.7546800
Census Tract 1103.01; Santa Cruz County; California,"742,486",0,0.287,0,36.9098412,−121.7525190
Census Tract 1103.02; Santa Cruz County; California,"442,380",0,0.171,0,36.9141769,−121.7596811
Census Tract 1104.01; Santa Cruz County; California,"3,940,445",0,1.521,0,36.9004008,−121.7665098
Census Tract 1104.02; Santa Cruz County; California,"2,043,363",0,0.789,0,36.9120624,−121.7781198
Census Tract 1105.03; Santa Cruz County; California,"958,946",0,0.37,0,36.92759,−121.7705127
Census Tract 1105.04; Santa Cruz County; California,"514,491",0,0.199,0,36.9345915,−121.7679291
Census Tract 1105.05; Santa Cruz County; California,"1,042,808",0,0.403,0,36.9197951,−121.7657710
